Time,Close,Volume,diferencia_media_150
2019-08-12,1.20747,94422,0.07590993333333329
2019-08-13,1.20597,99754,0.07687660000000007
2019-08-14,1.2057,98161,0.0765986666666667
2019-08-15,1.20922,106084,0.07248300000000008
2019-08-16,1.2146,85990,0.06661840000000008
2019-08-19,1.21244,64107,0.06826719999999997
2019-08-20,1.21706,78465,0.06312306666666667
2019-08-21,1.21208,66906,0.06747133333333322
2019-08-22,1.2256,86822,0.05341333333333331
2019-08-23,1.22836,89752,0.050043533333333334
2019-08-26,1.2218,107501,0.05597833333333324
2019-08-27,1.22873,81552,0.048529066666666676
2019-08-28,1.22101,98794,0.055646000000000084
2019-08-29,1.2183,81976,0.057737533333333424
2019-08-30,1.21622,81407,0.059204066666666666
2019-09-02,1.20627,72873,0.06850433333333328
2019-09-03,1.2085,97322,0.0656973333333335
2019-09-04,1.22554,91480,0.0482085333333333
2019-09-05,1.23298,94866,0.04035420000000012
2019-09-06,1.22838,77817,0.04451599999999978
2019-09-09,1.23443,67287,0.03812193333333336
2019-09-10,1.23573,63499,0.036463799999999935
2019-09-11,1.23276,59880,0.03908866666666655
2019-09-12,1.23302,82917,0.03851586666666673
2019-09-13,1.24977,70578,0.021505600000000014
2019-09-16,1.24282,64465,0.028126066666666727
2019-09-17,1.24992,62437,0.020649866666666572
2019-09-18,1.2469,67114,0.0232825333333333
2019-09-19,1.25226,70431,0.01758033333333353
2019-09-20,1.2469,71979,0.022549533333333427
2019-09-23,1.24337,60459,0.025637933333333196
2019-09-24,1.24943,63316,0.019073733333333287
2019-09-25,1.23497,64925,0.03289440000000021
2019-09-26,1.23226,62519,0.034978399999999965
2019-09-27,1.22905,60365,0.03757659999999996
2019-09-30,1.22965,57864,0.03638673333333342
2019-10-01,1.23038,70880,0.03507339999999992
2019-10-02,1.22982,67673,0.03505219999999998
2019-10-03,1.23284,79199,0.03153033333333344
2019-10-04,1.23335,64437,0.030565066666666585
2019-10-07,1.22886,51544,0.03448059999999997
2019-10-08,1.22195,73907,0.040822666666666674
2019-10-09,1.22035,66757,0.041666466666666624
2019-10-10,1.24411,98657,0.01737333333333324
2019-10-11,1.26471,117830,-0.0036569333333333898
2019-10-14,1.26021,83295,0.0004091333333333669
2019-10-15,1.27837,115140,-0.018070933333333317
2019-10-16,1.28275,118752,-0.022692666666666694
2019-10-17,1.28907,120649,-0.029155733333333433
2019-10-18,1.29614,91654,-0.03639246666666662
2019-10-21,1.29589,84476,-0.036302000000000056
2019-10-22,1.2872,92554,-0.02783420000000003
2019-10-23,1.29118,88838,-0.03199693333333342
2019-10-24,1.2851,78247,-0.02604233333333328
2019-10-25,1.28294,61207,-0.024015666666666657
2019-10-28,1.28533,57737,-0.026573200000000075
2019-10-29,1.28661,70836,-0.028031599999999823
2019-10-30,1.28986,68655,-0.031453733333333345
2019-10-31,1.29419,76132,-0.03587213333333317
