Dropped Columns
Open
High
Low
mean_close
relative_volume
relative_change
Close_Filtrado_Wavelet
RSI
MACD
MACD_Signal
MACD_Hist
Stochastic_K
Stochastic_D
BB_Middle
BB_Upper
BB_Lower
Donchian_Upper
Donchian_Lower
Donchian_Middle
ADX
ADX_Pos
ADX_Neg
Momentum
TRIX
SMA_50
SMA_200
EMA_50
EMA_200
Force_Index
