number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_vf_coef,state
19,0.9908546957973302,2025-05-11 15:01:14.517956,2025-05-11 15:02:06.239917,0 days 00:00:51.721961,3.490378514714521e-06,0.8184176038305963,0.847569889750681,1.972181524881662e-05,0.48747172110488957,6,0.8589420825224813,COMPLETE
20,1.3737182071877456,2025-05-11 15:02:06.291972,2025-05-11 15:02:57.139651,0 days 00:00:50.847679,1.4338688812530291e-08,0.8932651064683932,0.8169193363531945,7.268436273243863e-05,0.46560524429688865,26,0.8395501331996506,COMPLETE
21,1.0,2025-05-11 15:02:57.175045,2025-05-11 15:03:51.308449,0 days 00:00:54.133404,6.614632125754756e-05,0.9184628579230916,0.8496917112018223,8.540373263021731e-05,0.36587452523003083,99,0.16682298796957507,COMPLETE
22,,2025-05-11 15:03:51.364115,2025-05-11 15:04:28.920025,0 days 00:00:37.555910,1.19599709800353e-07,0.9895250239523488,0.8155259366192685,4.6207496868231787e-05,0.5760395885559058,151,0.7023371401820473,FAIL
23,,2025-05-11 15:06:40.414466,,,0.005870384271862632,0.8563235531054837,0.9449622325893666,3.2948983768136205e-05,0.5295454953213999,10,0.8167992318680936,RUNNING
24,,2025-05-11 15:19:37.425444,,,6.706137296309355e-08,0.9471943756479455,0.8054302554501384,0.00025603106491758253,0.7888847620689424,55,0.7563506256934539,RUNNING
25,1.0,2025-05-11 15:20:08.643668,2025-05-11 15:20:52.114427,0 days 00:00:43.470759,0.0005327776938541933,0.984671925258404,0.8555386728070147,0.007861723244775807,0.3283070504970092,117,0.2724492816159326,COMPLETE
26,1.3787568167714066,2025-05-11 15:20:52.151822,2025-05-11 15:21:37.989517,0 days 00:00:45.837695,2.7537065089483735e-07,0.9119112512928644,0.9831301691926517,8.603582509594346e-05,0.4466393228219806,22,0.7997236244404522,COMPLETE
27,,2025-05-11 15:21:38.026421,2025-05-11 15:22:18.436943,0 days 00:00:40.410522,3.137653051965367e-07,0.9187435555995357,0.9749955158430024,0.00011615491297875736,0.46466381977759397,21,0.7746915155525488,FAIL
28,1.0383666654948933,2025-05-11 15:23:35.672264,2025-05-11 15:25:21.128742,0 days 00:01:45.456478,2.7146182709011174e-07,0.919775288795195,0.988255956623802,0.00011233669756631473,0.44944473308393706,25,0.7759894093241573,COMPLETE
29,1.0383666654948933,2025-05-11 15:25:21.166849,2025-05-11 15:27:08.341045,0 days 00:01:47.174196,1.6292862772296614e-07,0.8846380732676568,0.9323402320707355,0.00012878255458968475,0.4278613832033827,21,0.9814496448270835,COMPLETE
30,,2025-05-11 15:27:08.412192,,,1.8557901550869763e-07,0.9346032688638242,0.9743342917372356,1.255056281708728e-05,0.6005346225245246,17,0.7743701871314922,RUNNING
31,1.009250550844461,2025-05-11 15:32:36.411034,2025-05-11 15:34:08.956694,0 days 00:01:32.545660,2.0938901908446505e-07,0.932835207507503,0.9796012150935823,1.3116919953860405e-05,0.6085944428943553,15,0.7281414293580398,COMPLETE
32,,2025-05-11 15:34:09.001786,2025-05-11 15:34:51.202145,0 days 00:00:42.200359,1.0071728340548094e-07,0.8459984487013118,0.9537054263467337,4.555001466763311e-05,0.3025335603693251,12,0.5137684210318274,FAIL
33,1.3787568167714066,2025-05-11 15:47:59.056555,2025-05-11 15:49:25.284062,0 days 00:01:26.227507,1.0139247336761805e-07,0.836906024428823,0.9508846547571392,4.7391647945816285e-05,0.7183764620011719,13,0.5164864649666008,COMPLETE
