number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_vf_coef,state
0,3885.0480160490365,2025-05-11 12:39:05.426005,2025-05-11 12:39:35.515209,0 days 00:00:30.089204,5.7790664555718044e-08,0.9410029131729596,0.8799406133946375,1.3964150982821272e-05,0.9163238143688601,15,0.7392300621541543,COMPLETE
1,3945.3693960289847,2025-05-11 12:39:35.560798,2025-05-11 12:39:57.937106,0 days 00:00:22.376308,0.001466256710215371,0.9946833729169134,0.8534108941737866,5.7352467220843444e-05,0.7848051289210264,252,0.4068153331548099,COMPLETE
2,4000.0,2025-05-11 12:39:57.965567,2025-05-11 12:40:21.695357,0 days 00:00:23.729790,1.0434476607686656e-08,0.8617724597358685,0.829595795214943,7.874199205739076e-05,0.9365001000986857,78,0.6830467047882766,COMPLETE
3,3994.9632079515713,2025-05-11 12:40:21.718803,2025-05-11 12:40:44.780794,0 days 00:00:23.061991,1.607651797396306e-05,0.927869801836603,0.9171064324876853,0.0009490285015552785,0.5906552494838697,24,0.3969905330143989,COMPLETE
4,2913.7627475292015,2025-05-11 12:40:44.812738,2025-05-11 12:41:07.490304,0 days 00:00:22.677566,5.97316884013439e-07,0.9944147276814327,0.82725696649192,7.1312341920075e-05,0.3355653912315827,59,0.34354322796527664,COMPLETE
5,4000.0,2025-05-11 12:41:07.512554,2025-05-11 12:41:27.256384,0 days 00:00:19.743830,0.0027006401139229013,0.8044662275159988,0.8661710436737413,5.170162001751323e-05,0.3435911126553343,57,0.7649714008300789,COMPLETE
6,3466.1141994174827,2025-05-11 12:41:27.289653,2025-05-11 12:41:38.527682,0 days 00:00:11.238029,3.0386141719070557e-06,0.999868870367986,0.8748003808715386,0.00022972793753766146,0.3165054990711743,63,0.8811323498854491,PRUNED
7,4000.0,2025-05-11 12:41:38.550633,2025-05-11 12:41:58.078834,0 days 00:00:19.528201,0.000449809874429734,0.9610998285920358,0.8553982113017251,8.09814982608182e-05,0.9259026397305998,30,0.2769304190583336,COMPLETE
8,4000.0,2025-05-11 12:41:58.096897,2025-05-11 12:42:18.731134,0 days 00:00:20.634237,0.0013347071129933667,0.8758179211377368,0.9071364773994355,0.002181335161957082,0.6274171785415651,7,0.5321753918231803,COMPLETE
9,3466.1141994174827,2025-05-11 12:42:18.747027,2025-05-11 12:42:29.466559,0 days 00:00:10.719532,0.000574285244090214,0.8791218780657467,0.890328879002669,0.00014680070705232973,0.41307761157331313,85,0.8641250914309324,PRUNED
10,4000.0,2025-05-11 12:42:29.476314,2025-05-11 12:42:55.123150,0 days 00:00:25.646836,1.763777290998085e-08,0.8320703737118932,0.9871830723040814,0.008564259355487578,0.7833389175620067,1650,0.6025801059570542,COMPLETE
11,3886.639019374468,2025-05-11 12:42:55.139849,2025-05-11 12:43:05.643804,0 days 00:00:10.503955,4.467957604769924e-05,0.8216428768803574,0.8247246551116598,1.4298981468068719e-05,0.49501304426154663,291,0.6834730270692542,PRUNED
12,4000.0,2025-05-11 12:43:05.665584,2025-05-11 12:43:24.637137,0 days 00:00:18.971553,0.006636037959522067,0.8077711339840451,0.8056215116268929,3.742194986620706e-05,0.7556838849194825,272,0.11113891787462049,COMPLETE
13,4000.0,2025-05-11 12:43:24.652916,2025-05-11 12:43:43.576935,0 days 00:00:18.924019,2.9627461462880465e-07,0.8508566894501016,0.9357551808339972,0.0005254160019554849,0.986702588699259,155,0.9544491911458822,COMPLETE
14,3466.1141994174827,2025-05-11 12:43:43.594610,2025-05-11 12:43:53.740746,0 days 00:00:10.146136,6.908891990467702e-05,0.8495685970552895,0.8443238343640104,3.3651797634704746e-05,0.5149870490630797,1087,0.7861953093182098,PRUNED
15,3466.1141994174827,2025-05-11 12:43:53.752600,2025-05-11 12:44:04.039860,0 days 00:00:10.287260,1.3561910900256493e-06,0.8955817733659733,0.8119094476468582,0.00017229018687057348,0.7017157018055232,764,0.5973925010552842,PRUNED
16,3466.1141994174827,2025-05-11 12:44:04.056546,2025-05-11 12:44:17.148463,0 days 00:00:13.091917,1.149120201584337e-07,0.8035450088981291,0.9436481381591871,0.0007569691317714753,0.8568601936415741,6,0.689532502350293,PRUNED
17,4000.0,2025-05-11 12:44:17.156858,2025-05-11 12:44:36.584448,0 days 00:00:19.427590,4.631507572372785e-06,0.8536241854613391,0.8608340648371047,2.6655410239335786e-05,0.530035369132371,35,0.5044110019250809,COMPLETE
18,3466.1141994174827,2025-05-11 12:44:36.605126,2025-05-11 12:44:47.164101,0 days 00:00:10.558975,0.007328288924483623,0.9129551323449219,0.8479111458542044,0.00011099515563160543,0.44929805905486897,135,0.9825664690125508,PRUNED
19,4000.0,2025-05-11 12:44:47.176919,2025-05-11 12:45:08.003942,0 days 00:00:20.827023,1.4709024929420124e-08,0.8304055639939154,0.827510390462233,0.0002378610895439665,0.6748024635293145,12,0.7884792849174771,COMPLETE
