Time,Close,Volume,diferencia_media_100
2022-12-08,144.259,110901,-2.3687599999999804
2022-12-09,143.872,121447,-1.9329000000000178
2022-12-12,145.062,105056,-3.06880000000001
2022-12-13,144.162,125454,-2.1126000000000147
2022-12-14,144.686,132553,-2.5829700000000173
2022-12-15,146.42,127923,-4.221409999999992
2022-12-16,144.739,115688,-2.4553900000000226
2022-12-19,145.21,109064,-2.824660000000023
2022-12-20,139.922,167486,2.5089100000000144
2022-12-21,140.447,119698,2.0272899999999936
2022-12-22,140.289,112177,2.2262400000000184
2022-12-23,140.982,113797,1.5689700000000073
2022-12-27,142.026,93517,0.5686599999999942
2022-12-28,142.716,104030,-0.07450000000000045
2022-12-29,141.827,95225,0.8641799999999762
2022-12-30,140.257,109722,2.4642800000000022
2023-01-02,139.246,41305,3.4987999999999886
2023-01-03,138.17,133756,4.602250000000026
2023-01-04,140.657,139886,2.156589999999966
2023-01-05,140.392,134644,2.450710000000015
2023-01-06,140.61,126309,2.2681899999999757
2023-01-09,141.545,124753,1.374369999999999
2023-01-10,141.95,124009,1.022040000000004
2023-01-11,142.515,109008,0.5190699999999993
2023-01-12,140.327,142728,2.743239999999986
2023-01-13,138.493,132610,4.600770000000011
2023-01-16,139.045,95914,4.0689000000000135
2023-01-17,138.25,118911,4.859739999999988
2023-01-18,139.144,156658,3.9670899999999847
2023-01-19,139.093,122052,4.012160000000023
2023-01-20,140.666,112691,2.4513500000000192
2023-01-23,142.061,112428,1.0807999999999822
2023-01-24,141.739,94622,1.4240999999999815
2023-01-25,141.45,103387,1.713060000000013
2023-01-26,141.836,105231,1.3069500000000005
2023-01-27,141.091,101466,2.0220799999999883
2023-01-30,141.548,110529,1.5484600000000057
2023-01-31,141.307,101429,1.756859999999989
2023-02-01,141.727,108190,1.3135799999999733
2023-02-02,140.411,122814,2.604939999999999
2023-02-03,141.607,108976,1.390340000000009
2023-02-06,142.255,111688,0.7334299999999985
2023-02-07,140.612,119735,2.346900000000005
2023-02-08,140.823,103291,2.1112699999999904
2023-02-09,141.23,110846,1.6992500000000064
2023-02-10,140.322,123816,2.6102800000000173
2023-02-13,142.011,99559,0.9524200000000178
2023-02-14,142.883,126148,0.11863999999999919
2023-02-15,143.383,105027,-0.33684000000002357
2023-02-16,142.955,107976,0.1173899999999719
2023-02-17,143.441,100887,-0.3514099999999871
2023-02-20,143.44,77124,-0.33489000000000146
2023-02-21,143.754,100706,-0.6315499999999759
2023-02-22,143.095,102598,0.018840000000011514
2023-02-23,142.68,87672,0.430279999999982
2023-02-24,143.924,117432,-0.7955499999999915
2023-02-27,144.519,90177,-1.3613500000000158
2023-02-28,144.07,99026,-0.8857599999999763
2023-03-01,145.302,110022,-2.0801999999999907
2023-03-02,144.919,110950,-1.6733299999999929
2023-03-03,144.44,93783,-1.189409999999981
2023-03-06,145.205,102336,-1.9489200000000153
2023-03-07,144.685,101873,-1.4490000000000123
2023-03-08,144.808,96677,-1.5953800000000058
2023-03-09,144.078,91745,-0.8895799999999952
2023-03-10,143.726,143670,-0.569800000000015
2023-03-13,143.002,176890,0.1288399999999683
2023-03-14,144.036,145366,-0.9359300000000133
2023-03-15,141.112,161175,1.9247000000000014
2023-03-16,141.949,159855,1.0311599999999714
2023-03-17,140.617,138019,2.311850000000021
2023-03-20,140.813,148784,2.054390000000012
2023-03-21,142.656,113176,0.16795999999999367
2023-03-22,142.752,114651,0.035839999999979
2023-03-23,141.736,134727,1.0173599999999965
2023-03-24,140.622,138227,2.0920699999999783
2023-03-27,142.072,100873,0.6025999999999954
2023-03-28,141.973,100566,0.6519499999999709
2023-03-29,144.083,102390,-1.484550000000013
2023-03-30,144.7,97680,-2.1201999999999828
2023-03-31,143.998,106760,-1.4169799999999952
2023-04-03,144.352,105615,-1.7642299999999977
2023-04-04,144.303,99912,-1.7168800000000033
2023-04-05,143.154,100589,-0.577699999999993
2023-04-06,143.859,84075,-1.2944200000000023
2023-04-07,143.948,66334,-1.3972599999999886
2023-04-10,145.098,83372,-2.54516000000001
2023-04-11,145.896,89762,-3.33972
2023-04-12,146.343,104909,-3.778189999999995
2023-04-13,146.457,92487,-3.8785100000000057
2023-04-14,147.031,100899,-4.425480000000022
2023-04-17,146.94,84723,-4.311160000000001
2023-04-18,147.156,91758,-4.491829999999993
2023-04-19,147.587,89082,-4.8795599999999695
2023-04-20,147.272,94296,-4.529079999999993
2023-04-21,147.386,86696,-4.593680000000006
2023-04-24,148.296,91863,-5.436389999999989
2023-04-25,146.754,88325,-3.8618999999999915
2023-04-26,147.542,106070,-4.608859999999993
2023-04-27,147.747,97469,-4.771420000000035
2023-04-28,150.041,125401,-7.0075999999999965
2023-05-01,150.931,87413,-7.82701000000003
2023-05-02,150.249,105460,-7.093140000000005
2023-05-03,149.117,108584,-5.91158999999999
2023-05-04,147.87,130578,-4.632749999999987
2023-05-05,148.557,95373,-5.29837999999998
2023-05-08,148.684,87698,-5.385930000000002
2023-05-09,148.236,97627,-4.907669999999996
2023-05-10,147.547,106809,-4.142419999999987
2023-05-11,146.884,111528,-3.4150499999999795
2023-05-12,147.254,95148,-3.7153999999999883
2023-05-15,148.011,89629,-4.402109999999993
2023-05-16,148.146,88069,-4.475909999999999
2023-05-17,149.245,92048,-5.509620000000012
2023-05-18,149.382,93222,-5.571069999999992
2023-05-19,149.082,103242,-5.182819999999992
2023-05-22,149.844,92206,-5.838840000000005
2023-05-23,149.251,104345,-5.13503
2023-05-24,149.917,108687,-5.708429999999993
2023-05-25,150.19,111036,-5.883449999999982
2023-05-26,150.782,98152,-6.373729999999995
2023-05-29,150.392,57785,-5.895259999999979
2023-05-30,150.048,103738,-5.4702800000000025
2023-05-31,148.93,105186,-4.288129999999995
2023-06-01,149.38,98888,-4.647599999999983
2023-06-02,149.869,88789,-5.022840000000002
2023-06-05,149.525,85770,-4.5740399999999966
2023-06-06,149.307,87480,-4.245469999999983
2023-06-07,149.967,92542,-4.797240000000016
2023-06-08,149.797,88584,-4.520200000000017
2023-06-09,149.809,87440,-4.440769999999986
2023-06-12,150.185,82224,-4.735530000000011
2023-06-13,151.348,96191,-5.8024400000000185
2023-06-14,151.721,93797,-6.072730000000007
2023-06-15,153.539,106204,-7.773699999999991
2023-06-16,155.233,110063,-9.326279999999997
2023-06-19,155.074,70016,-9.032020000000017
2023-06-20,154.413,101731,-8.239959999999996
2023-06-21,155.888,102866,-9.573350000000005
2023-06-22,156.78,101217,-10.301659999999998
2023-06-23,156.52,109224,-9.892530000000022
2023-06-26,156.494,98796,-9.724140000000006
2023-06-27,157.913,98579,-10.970130000000012
2023-06-28,157.663,103209,-10.55173000000002
2023-06-29,157.282,104683,-10.01021
2023-06-30,157.423,98659,-9.980199999999996
2023-07-03,157.875,88849,-10.273560000000003
2023-07-04,157.174,64899,-9.42965000000001
2023-07-05,157.004,94059,-9.123439999999988
2023-07-06,156.914,107958,-8.893849999999986
2023-07-07,155.835,101423,-7.690910000000002
2023-07-10,155.47,98800,-7.205610000000007
2023-07-11,154.502,99885,-6.130130000000008
2023-07-12,154.189,111645,-5.706189999999992
2023-07-13,154.982,108276,-6.376170000000002
2023-07-14,155.807,112079,-7.082340000000016
2023-07-17,155.887,93897,-7.048659999999984
2023-07-18,155.884,110155,-6.927519999999987
2023-07-19,156.465,108942,-7.396890000000013
2023-07-20,155.89,108250,-6.712179999999989
2023-07-21,157.784,104082,-8.472740000000016
2023-07-24,156.534,102144,-7.109449999999981
2023-07-25,155.766,97460,-6.230639999999994
2023-07-26,155.475,107884,-5.832969999999989
2023-07-27,153.089,129094,-3.3568600000000117
2023-07-28,155.496,147084,-5.646160000000009
2023-07-31,156.437,110636,-6.4528099999999995
2023-08-01,157.432,101972,-7.313849999999974
2023-08-02,156.777,118535,-6.502199999999959
2023-08-03,156.041,127261,-5.625280000000004
2023-08-04,156.059,117914,-5.488860000000017
2023-08-07,156.767,97761,-6.037319999999994
2023-08-08,157.099,109336,-6.224889999999988
2023-08-09,157.74,99206,-6.716009999999983
2023-08-10,158.951,109850,-7.754860000000008
2023-08-11,158.687,99222,-7.310210000000012
2023-08-14,158.742,104821,-7.198509999999999
2023-08-15,158.753,103663,-7.041709999999966
2023-08-16,159.214,109603,-7.351399999999984
2023-08-17,158.575,112761,-6.573650000000015
2023-08-18,158.035,109930,-5.893280000000004
2023-08-21,159.326,97506,-7.034539999999993
2023-08-22,158.22,97007,-5.789369999999991
2023-08-23,157.355,102217,-4.782360000000011
2023-08-24,157.662,99955,-4.951330000000013
2023-08-25,158.076,104447,-5.224050000000005
2023-08-28,158.547,82165,-5.560559999999981
2023-08-29,158.704,99340,-5.589480000000009
2023-08-30,159.747,102008,-6.498440000000016
2023-08-31,157.814,99242,-4.451869999999985
2023-09-01,157.444,91996,-3.977739999999983
2023-09-04,158.152,64337,-4.573619999999977
2023-09-05,158.388,92888,-4.697300000000013
2023-09-06,158.38,90976,-4.581369999999993
2023-09-07,157.535,86263,-3.633739999999989
2023-09-08,158.11,93096,-4.101500000000016
2023-09-11,157.575,109157,-3.473710000000011
2023-09-12,158.18,90009,-3.964450000000028
2023-09-13,158.234,95418,-3.9115300000000275
2023-09-14,156.964,97223,-2.549360000000007
2023-09-15,157.613,89668,-3.12263999999999
2023-09-18,157.82,73802,-3.260749999999973
2023-09-19,157.912,80558,-3.2761199999999917
2023-09-20,158.15,88959,-3.423789999999997
2023-09-21,157.315,97183,-2.4943400000000224
2023-09-22,157.934,95287,-3.019570000000016
2023-09-25,157.705,84995,-2.7003600000000176
2023-09-26,157.579,91376,-2.4809300000000007
2023-09-27,157.166,93185,-1.9717400000000112
2023-09-28,157.751,101025,-2.4480700000000013
2023-09-29,157.923,102491,-2.513380000000012
2023-10-02,157.021,98013,-1.5212799999999618
2023-10-03,155.991,101080,-0.4128300000000138
2023-10-04,156.631,105484,-0.9789700000000039
2023-10-05,156.677,105157,-0.9520200000000045
2023-10-06,157.922,104866,-2.108620000000002
2023-10-09,156.922,97010,-1.0378399999999885
2023-10-10,157.706,105230,-1.7372900000000016
2023-10-11,158.407,100649,-2.3533899999999903
2023-10-12,157.714,96798,-1.5851499999999987
2023-10-13,157.169,97668,-0.9762800000000311
2023-10-16,157.88,84698,-1.612400000000008
2023-10-17,158.44,93466,-2.088480000000004
2023-10-18,157.948,99021,-1.5063000000000102
2023-10-19,158.493,114706,-1.960170000000005
2023-10-20,158.745,99046,-2.123410000000007
2023-10-23,159.709,86829,-2.9855699999999956
2023-10-24,158.748,91820,-1.9301600000000008
2023-10-25,158.719,91270,-1.8136399999999924
2023-10-26,158.855,104754,-1.859059999999971
2023-10-27,158.081,97696,-1.0023399999999754
2023-10-30,158.204,87904,-1.0451500000000067
2023-10-31,160.413,109810,-3.163499999999999
2023-11-01,159.548,113580,-2.220230000000015
2023-11-02,159.828,105659,-2.437340000000006
2023-11-03,160.23,101188,-2.789369999999991
2023-11-06,160.832,86654,-3.3337899999999934
2023-11-07,160.939,91138,-3.3755299999999977
2023-11-08,161.678,97017,-4.056629999999984
2023-11-09,161.455,105959,-3.786880000000025
2023-11-10,161.893,90882,-4.171149999999983
2023-11-13,162.316,83051,-4.535930000000008
2023-11-14,163.597,93354,-5.7600900000000195
2023-11-15,164.206,102268,-6.303660000000008
2023-11-16,163.59,95397,-5.624580000000009
2023-11-17,163.294,97945,-5.269870000000026
2023-11-20,162.341,113211,-4.27221000000003
2023-11-21,161.908,115121,-3.7918699999999887
2023-11-22,162.843,108245,-4.668479999999988
2023-11-23,163.097,72206,-4.860649999999993
2023-11-24,163.354,81605,-5.042460000000034
2023-11-27,162.861,109227,-4.475549999999998
2023-11-28,162.124,118566,-3.662329999999997
2023-11-29,161.497,125134,-2.96225000000004
