Dropped Columns

Open
High
Low
relative_change

MACD_Hist
Stochastic_K
Stochastic_D
BB_Middle
BB_Upper
BB_Lower
Donchian_Upper
Donchian_Lower
Donchian_Middle
ADX
ADX_Pos
ADX_Neg
Momentum
